ID,DensT,FritC,StifF,RollR,Total_Acum_Mass_Ini [kg],Total_Acum_Mass_Out [kg],AVG_W_IN [kg/s],SD_W_IN [kg/s],AVG_TOT_IN [kg/s],AVG_W_OUT [kg/s],SD_W_OUT [kg/s],AVG_TOT_OUT [kg/s],Slider_Left_MAX_AVG [kN],Slider_Left_MAX_SD [kN],Slider_Left_MIN_AVG [kN],Slider_Left_MIN_SD [kN],Slider_Right_MAX_AVG [kN],Slider_Right_MAX_SD [kN],Slider_Right_MIN_AVG [kN],Slider_Right_MIN_SD [kN],Slider_Total_MAX_AVG [kN],Slider_Total_MAX_SD [kN],Slider_Total_MIN_AVG [kN],Slider_Total_MIN_SD [kN],WoT_AVG [kJ],WoT_SD [kJ]
1.0,650.0,0.1,0.2,0.1,7883.455473980756,1832.442820783633,3.5347677788317355,0.5046415835020921,3.583388851809435,0.6673764771958125,0.1636383894440342,0.8329285549016514,8.92732088279998,1.6497078093510589,-21.037132656306174,2.58892475893748,10.498097864479206,1.1691032310151028,-20.187055046639784,4.789076859354799,18.838751505576766,1.8013260095133206,-40.12712428717987,6.92750198334868,30.54814743019481,2.250797330443067
2.0,650.0,0.2,0.2,0.1,6239.951320132114,1579.7123143498238,2.7470327616839403,0.4843419366266944,2.836341509150961,0.5099422783738129,0.1786940080752201,0.7180510519771927,11.563931454687168,1.829093722879773,-22.88660793943737,3.004544825967584,11.762128873728338,1.2535333280934418,-22.7410952073044,1.771209055998496,22.494588475433435,2.136870820097194,-43.94076931677155,4.082783623901203,34.25703394230148,2.3593178657436766
3.0,650.0,0.3,0.2,0.1,6450.880982511636,2122.014225431559,2.9124834793180434,0.6738469232414175,2.93221862841438,0.8226764414712883,0.3573410987083718,0.9645519206507088,9.504704071612206,0.9509693179107268,-23.559824420875447,6.851110701329657,10.944881831887804,1.8961580952994024,-22.670497468756704,2.686741940493385,19.78354104505185,2.75003173803827,-42.74533162497933,7.168768045111449,31.713371106360903,3.538559629788588
4.0,650.0,0.4,0.2,0.1,5911.437222118187,1850.2520978602108,2.9154914790139235,0.4361532148266855,2.6870169191446305,0.6502807295923719,0.2518422843854516,0.8410236808455503,8.177362558378803,1.659751692005717,-20.98079083416613,1.3880482936353442,10.085963864911792,1.110337430961863,-22.219072729643223,2.319686268908961,17.841623005425422,1.9823121129473784,-40.54715275335631,2.1962730075277634,31.000601922623748,2.319146168795485
5.0,650.0,0.5,0.2,0.1,6110.813344235066,2070.3872032213403,2.962777473466546,0.3760332913941638,2.777642429197757,0.7532551938731159,0.3485553448545401,0.9410850923733364,8.961336457103005,2.1428589967060185,-20.00200538606951,3.063802292513514,9.92478490657702,1.1575661927602574,-21.58264978027276,2.055700046642764,18.280416530227747,2.38032373123381,-38.67993838345741,5.084658166911148,30.173575596990467,3.1654099120515053
6.0,650.0,0.7,0.2,0.1,5815.225693990736,2082.59253022473,2.856005511577693,0.3227393154708415,2.643284406359425,0.7513452261715186,0.1671667973833772,0.9466329682839684,8.337925748377673,1.5344890953891717,-19.278401950721765,1.7662134379963448,9.0911177406615,2.12617123247142,-22.9434703220488,2.0103299799721026,17.113112940163905,3.2787222016337143,-38.82201441423569,2.593139593195241,28.81220124032401,2.340083575529666
7.0,650.0,0.1,0.25,0.1,7209.612735537877,1939.513985912011,3.113294453432807,0.7184062136874865,3.277096697971762,0.7508336160865282,0.1896111241002257,0.8815972663236414,10.54100420591486,0.9669133332811192,-27.39593091963032,6.11671253112032,11.273875891208892,1.3025664464165612,-26.79780503040775,5.437922190807998,21.182316696027687,1.9094623918980205,-51.32777442037515,12.338041065838604,36.93994402817357,4.307455989074343
8.0,650.0,0.2,0.25,0.1,6232.516823084439,1680.0619147458538,2.750189325991144,0.8846442834891097,2.832962192311109,0.5826314977590368,0.2412876148384061,0.7636645067026608,9.931087847779017,2.014808121708286,-25.85320022485151,5.579390053524967,12.04048338761524,1.9926694326747776,-26.00226874293794,2.8537642637840976,21.42055114843642,3.5673487674591677,-49.20734920562058,7.358768689185725,36.43784661369101,3.793921141775962
9.0,650.0,0.3,0.25,0.1,5797.4772276464855,1653.4094617149474,2.863155740580436,0.2828202027261084,2.635216921657493,0.5574952420155009,0.1572311153033225,0.751549755324976,10.110916033062358,1.584200599249866,-25.08716385882956,1.3281558298874132,10.34689113496912,1.1995701029694097,-24.352250824147216,1.889600454977132,20.032997187104467,2.6893238018195005,-46.157252215663405,2.050552051397551,34.91276675336191,2.370128952642102
10.0,650.0,0.4,0.25,0.1,5748.802010748317,1880.3023783898057,2.8278881820395227,0.485478555394726,2.6130918230674167,0.6461271271503816,0.3884005259331007,0.8546828992680935,9.628285429705482,1.9524292463325172,-24.12842654878195,3.4948250070978872,9.902047896897075,2.082999291130988,-26.33192419111841,1.781428700697876,19.02522322971083,3.5903202028940324,-48.00013873315832,4.168306709435419,34.11039537162883,2.9360546894697594
11.0,650.0,0.5,0.25,0.1,5042.332879628538,1878.9886618432363,2.717342093954256,0.3735107404807202,2.2919694907402444,0.6528560093826384,0.2738137476449858,0.8540857553832892,8.708941166877784,2.5827853744193363,-21.033694930286053,2.7933110817298594,9.645966985965783,2.1661541356806,-22.48783739539874,2.166051228156796,17.927355557191763,4.679044690595693,-41.75892890910682,4.079241519627984,29.555976919330167,2.86817961667119
12.0,650.0,0.6,0.25,0.1,4890.769501042044,1885.9462129527649,2.548533417613537,0.4230506200966794,2.2230770459282017,0.6494468817550656,0.4246502421399594,0.8572482786148932,9.24141886340384,2.403324610626891,-25.950218954454385,2.921430358089384,9.97347747957426,2.316092737353614,-25.80038868964937,2.291829838649932,18.60828026516325,4.324057815617183,-48.64929055011219,3.697720675159206,32.25361521990684,2.180380211148796
13.0,650.0,0.7,0.25,0.1,5248.709304428518,2013.4536303396228,2.7951280989470773,0.5031897601076516,2.3857769565584173,0.8556083791350405,0.3203559162678091,0.9152061956089196,8.865696081933729,1.526119830206399,-22.56449516186546,2.438340979289545,9.849555214600874,1.5962559122609723,-24.23091093564732,2.7969617085007514,18.26702102355414,2.5046241693574203,-44.54500290383256,3.669207341034261,30.300541386714933,1.8876459365934897
14.0,650.0,0.1,0.3,0.1,6937.8146933083935,1813.559856224856,2.928346754342764,0.9220334451291328,3.153552133321997,0.688361172899528,0.251593068244346,0.8243453891931164,11.27042378582099,2.5973693805325264,-32.31458072227282,10.99606563806564,11.733005962309708,2.069503602795731,-31.407592683067897,10.10000267580798,22.513660021040163,4.340114872449057,-62.0518956742173,21.078620262660447,41.86306125372814,9.751361955667347
15.0,650.0,0.2,0.3,0.1,6130.91479366924,1600.871263083677,2.998559543750949,0.421214205821408,2.786779451667836,0.5354724796137564,0.1049318954030402,0.7276687559471259,10.745784477884982,2.5052046408382207,-27.974080660128497,1.6680888325453067,11.1152247768421,1.5816570460035992,-27.24823351707804,2.132497373588864,21.518437315155484,3.7195346512731584,-53.37681158092248,3.793930210656683,39.30113626898098,3.219238469317704
16.0,650.0,0.3,0.3,0.1,5185.261514628842,1653.168502013986,2.707532769265906,0.4445442098370268,2.356937052104019,0.6366559392332807,0.3573324057969344,0.7514402281881755,10.139959985429412,1.061539879568502,-28.57734295089304,3.6979857740705033,12.467012350594777,1.9452376717318367,-30.801949127785917,3.480921572353092,22.155897290203367,1.923957135286494,-57.24649077128542,6.906825092139058,39.523961683567386,5.781947435096953
